run_id,sigma,time,conversion
size_80x80_sigma_0.8_seed_123,0.8,6.850166907201245e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.884529468317704e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.893856890546042e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.185524860981505e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.243938727585627e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.282545600389901e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.378006805005927e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.501897538781086e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.515850507279025e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.518013944506378e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.54857866607646e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.586127196479914e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.610402601088956e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.710261931150984e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.75780599219713e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.856653043906318e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.910450246818611e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.953399072168436e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.100072614663576e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.113958608300409e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.118695207498255e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.182536727074768e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.184032881384017e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.220495953672156e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.292775942729599e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.328995027018635e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.369868671056471e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.445810867633632e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.455899916069758e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.541090705886882e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.606214166310528e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.615256518771575e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.690122260488824e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.696362180735052e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.740750376191033e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.788008878435196e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.862728896574778e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.868650114271347e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.870716105250227e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.873356140923698e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.890350621332215e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.997291786286527e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.997731773299837e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.031469413710607e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.071754651218001e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.089007416581268e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.112686916823662e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.150798978230439e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.165153025152579e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.175143656708676e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.221902784210237e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.267296328608524e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.47099019695849e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.618399994949798e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.673658422889178e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.675942947628746e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.783487770839282e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.799890034096309e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.872897646661408e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.90208794147717e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.966300439923159e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.997123637244185e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010043393718683837,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010085354606939228,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010161279711831432,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010202440722329947,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010204730118565842,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010250569690884859,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010296250241967785,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010314132053317656,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010425738735222854,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010455387425460904,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010548893417730178,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010568412066229312,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010646580869284249,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010647535503514499,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010672869895108729,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00010766382312649404,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.0001096824950346368,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011009282811251747,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011047563310223023,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011152172888972727,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011189182698903312,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011192510814107355,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011280944567134374,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011505139356628894,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011514963334452158,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011610007578140904,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011685462163160278,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011770270535567256,0.0
size_80x80_sigma_0.8_seed_123,0.8,0.00011775339958911639,0.0
